entreprise,titre,description
The Standard,Senior Data Scientist,"At The Standard, you’ll join a team focused on putting our customers first.  Our continued success is driven by a high-performance culture. We’re looking for people who are collaborative, accountable, creative, agile and are driven by a passion for doing what’s right – across the company and in our local communities.  We offer a caring culture where you can make a real difference, every day.  Ready to reach your highest potential? Let’s work together. Location: Portland, Oregon, however for the right candidate we would consider: Remote work, or to work out of one of our other offices in: Hillsboro, OR or White Plains, NY. Your Responsibilities As an analytical problem solver define business problems in an analytics framework and define business based KPI’s to monitor and measure the business impact. Implement industrial best practices in data science product organizations: defining objectives, key results, and approach. In short, develop product-oriented execution approaches. As an internal consultant, partner with stakeholders and leaders to understand their business and business challenges and identify trends, patterns and develop recommendations. You will guide and work with data engineers and domain owners to produce the required data if not available. Develop hypotheses, convert these into the right analytical problems and solutions and communicate results back to your internal business customers to drive effective outcomes. Work as technical lead to develop an information advantage for the Employee Benefits Division utilizing advanced analytical capabilities while working to develop the team’s reputation as highly skilled experts in the area of data science. Proactively identify opportunities to leverage advanced analytical capabilities to drive business results. Opportunity areas include loss mitigation, fraud detection, channel and service optimization, operational efficiency and predicting customer value. Conduct advanced analytics, leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives within your assigned area of focus. Work with large data sets and develop algorithms and supporting code to ensure the highest quality data. You’ll use your skills within the context of industry practices and company policies and procedures. In partnership with the Director of Advanced Analytics develop a company-wide educational program for Data Science. Qualifications We get excited to meet candidates with 3 or more of following: Typically holds any of following: PhD with 3-7 years industrial experience building advanced data science models (fraud detection, pricing, and risk models), MS in quantitative fields with 6-10 years industrial experience building advanced data science models (fraud detection, pricing, and risk models), MBA with 3+ years industrial experience in Data Monetization and Data Science background A minimum of 5 years experience using data science tools (Python, R, Spark, SQL) and well-known cloud services (Azure cloud computing and storage platforms is a plus), Expert knowledge of statistics and machine learning theory (examples: Survival Models, Logistic Regression, Random Forest, SVM, and Neural Networks, Regression, Clustering, ANOVA, Experimental design, etc), Experience in developing Data Monetization business cases along with clear execution approach, Verifiable track record of using data to provide actionable and impactful business results, Experience in designing Data Science Could Solution Architecture, Experience in ML Ops best practices preferred, Prior experience within the insurance or financial services is preferred, Experience working with distributed data storage and computing technologies, including Hadoop, PySpark, Spark, Cassandra, DataBricks, and so forth are preferred. Competencies You Possess Effective communications skills that instill confidence with internal and external audiences and translate complex concepts to non-technical stakeholders to help enable understanding and drive informed business decisions. A low-ego, team-oriented and collaborative approach in keeping with the corporate culture. Solutions-oriented mind-set; able to work effectively through complex problems. Easily establish yourself as a trusted partner and the ability to build effective partnerships across all areas of the organization and with colleagues at all levels. Intellectual curiosity, a passion for data and a results orientation. Consultant personality: make recommendations based on your understanding and findings! The Standard Culture The Standard values a diverse and engaged workforce. You’ll experience an open and welcoming environment with authentic people who are thoughtful and intentional with high integrity. You’ll find a very collaborative approach when it comes to planning and decision making. You’ll have the independence to achieve results within the framework of the values and culture of the organization. In a culture that places high value on continuous improvement and possibilities, your ideas and insights regarding creative and innovative approaches are expected and encouraged. Portland Oregon – Something for Everyone Good Food Awards. Recognizing Portland and Oregon-based companies in 2016, 2017, and 2018. Beer. 70+ breweries Wine. 250 wineries within 60 miles of downtown Portland and over 700 in the state. Parks. 37,000 acres of parks in the Portland metro area. Cycling. A bike-friendly city. Enjoy the great outdoors. Hiking, camping, boating, skiing, and the Oregon Coast. Lots of beautiful places to explore. Professional Sports. Basketball, Soccer and Hockey teams. Arts and Entertainment. Symphony, Ballet, Theater, Museums. Standard Insurance Company, The Standard Life Insurance Company of New York, Standard Retirement Services, Inc., StanCorp Equities, Inc. and StanCorp Investment Advisers, Inc., marketed as The Standard, are Affirmative Action/Equal Opportunity employers. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex, national origin, gender, sexual orientation, age, disability, or veteran status or any other condition protected by federal, state or local law. The Standard offers a drug and alcohol free work environment where possession, manufacture, transfer, offer, use of or being impaired by an illegal substance while on Standard property, or in other cases which the company believes might affect operations, safety or reputation of the company is prohibited. The Standard requires a criminal background investigation, drug test, employment, education and licensing verification as a condition of employment. All employees of The Standard must be bondable."
dunnhumby,Senior Applied Data Scientist,"dunnhumby is the world’s leading customer science company. We analyse data and apply insights from nearly one billion shoppers across the globe to create personalised customer experiences in digital, mobile, and retail environments. Our strategic process, proprietary insights, and multichannel media capabilities build loyalty with customers to drive competitive advantage and sustained growth for clients. dunnhumby employs over 2,000 experts in offices throughout Europe, Asia, Africa, and the Americas and works with a prestigious group of companies including Tesco, Monoprix, Raley’s, Macy’s, Coca-Cola, Procter & Gamble, and PepsiCo. For more information, please visit us at www.dunnhumby.com.  dunnhumby is looking for a talented Senior Applied Data Scientist!  You will lead and execute projects to distil complex problems into compelling insights, using the best of dunnhumby science and make recommendations that resonate with clients and lead them to action.  What you'll be doing: Build strong relationships with internal contacts & external clients to ensure full understanding of client challenges, growth strategy and agreed measures of success for the project.  Investigate and implement the most appropriate analytical technique for each project, role modeling the re-use & further development of global solutions or code written by others.  Deploy, and mentor the team to deploy, data science algorithms and market products on chosen tech stack for efficient and cost-effective delivery.  Lead and execute projects that distil complex problems into compelling insights that resonate with clients and lead them to action.  Spot opportunities to grow client engagement by proactively solving client’s strategic questions, using a mix of products and advanced data science techniques that support executive decision making and call to action.  Participate in client meetings as required to present methodology and solutions through effective story telling techniques.  Work closely with global products team to provide market feedback for enhancing an existing product offering or augmenting the catalogue with a market-based product that can become global offering.  Ensure smooth running of your projects and support junior team members with their projects.  Lead by example by following dunnhumby Quality Assurance processes, ways of working and coding standards.  Provide advice and support to colleagues to resolve challenges and support code reviews.  Who you’ll get to work with:  Within dunnhumby you’ll work with Applied and Research Data Scientist teams Client / Commercial teams Global Capability teams Data Science Engineering teams  Externally, you’ll frequently be in contact with: Senior Retail/Customer Packaged Goods Analysts and Insights contacts   Qualifications  What you'll need:  Bachelor’s degree or equivalent in Mathematics, Economics, Applied Statistics, Computer Science, Physics, Engineering or related field. Experience focussing on the practical & pragmatic use of data and a passion for connecting your work directly to the customer experience, making a real and tangible impact. Experience with handling large data volumes with modern data processing tools, e.g. by using Hadoop / Spark / SQL / Python. Analytical Techniques Analytical Technology Desk Research Prototyping Quality Assurance and Testing Statistical Modelling Programming (Python, SQL, R, …) Data Interpretation/ Insight Analysis Data Visualisation Insight Storytelling Client relationship building and management Presentation skills A plus if you also have:  Master’s degree or equivalent in in Computer Science, Artificial Intelligence, Machine Learning, Applied Statistics, Physics, Engineering or related field. Programming experience on any standard data mining and modelling packages such as Python and R. Experience of applying advanced statistical models and machine learning algorithms to solve a variety of  Life at dunnhumby   dunnhumbians are passionate people who always start with the customer, we are ambitious and decisive, we listen and understand, innovate and explore, and work together to grow one dunnhumby. Here you'll be part of a culture that welcomes participation and discussion at all levels. You’ll get to work in an internationally collaborative environment alongside teams of ambitious, inquisitive and forward-thinking individuals. We believe that learning and development never stops and provide opportunities to feed your curiosity to understand, improve, and learn; encouraging everyone to build on the best of what we do. You'll have the opportunity to work with ground-breaking technology delivering extraordinary impact for our customers. We’re a great believer in work-life balance offering flexible working hours plus an extra day off on your birthday. dunnhumby's spirit of community and the diversity of our people's skills, backgrounds and experiences makes us stronger. We continuously seek to build an environment of inclusion, equality and respect because we know that will make us the best business we can be. Our approach to Flexible Working At dunnhumby, we value and respect difference and are committed to building an inclusive culture by creating an environment where you can balance a successful career with your commitments and interests outside of work. We believe that you will do your best at work if you have a work / life balance. Some roles lend themselves to flexible options more than others, so if this is important to you please raise this with your recruiter, as we are open to discussing agile working opportunities during the hiring process. Discover where a career with us can take you. Meet our people on YouTube to learn about the diversity in career paths across dunnhumby. For more about our culture and to explore the benefits we offer visit our Careers site.  Primary Location: United States-Walker Job: Data and Analysis-Applied Data Science Job Type: Regular Job Posting: Mar 16, 2020, 8:56:00 PM"
"HEPCO, Inc.",Senior Data Scientist,"SENIOR DATA SCIENTIST  HEPCO, Inc., is seeking an experienced DATA SCIENTIST, for an immediate DIRECT HIRE opportunity for one of our most prestigious clients in the Baltimore, Md area. Our client offers a healthy work-life/home-life balance, 100% remote work option during the COVID-19 crises, work with the latest technologies for an Enterprise level organization. Overall: You are a thought leader who gets directly involved across related disciplines including: Data Science, User Experience Research, Data Visualization, Business Analysis, and Software Development. Day to Day Summary: Work with business stakeholders from across the company to analyze problems and implement solutions Work with data across the complete analytical life cycle to build hypothetical models containing key assumptions, create mock-ups, prototype approaches, and implement production solutions Querying and analyzing data using a holistic perspective Look for and consider patterns in data in order to find opportunities working alongside our Product Development, Process Management, or Engineering teams Candidate Qualifications: Specialize in one or more areas of advanced research and continually stay informed on new research relevant to our business. Exceptional communicator able to articulate the benefits of a proposed solution to internal and external stakeholders. Steward of knowledge. You maintain detailed research notes. You document your solution approaches for others to re-create. The format of documentation could include internal wiki articles, product design specifications, cast studies, industry whitepapers, patent documents, publications, etc. You are familiar with a variety of technologies including: Object oriented programming languages such as Python, Scala, Java, C++, JavaScript, etc. Scripting languages such as R, SAS, Spark Relational languages such as SQL, RDF, SPARQL Data formats including XML, JSON, CSV, Graphs, etc. You are familiar with a variety of approaches including: Statistical analysis for the design of experiments Analysis of variance and correlational designs. Machine learning for supervised learning. Timeseries forecasting. Mathematical optimization for systems of equations. Simulation using sampling techniques. Must Have to be a lock: Minimum of 2-3 years of industry experience in a related role and an advanced degree in a related field Minimum of 4-5 years of industry experience in a related role and an undergraduate degree in a related field Optionally yet preferredcandidates have familiarity with marketing, advertising, and/or broadcast industries"
One Concern,"Data Scientist, Machine Learning","One Concern is a startup which specializes in Artificial Intelligence for Natural Disasters. With our team of global disaster scientists and engineers, we have developed a platform that helps emergency responders prepare for and make the most critical decisions during the first moments of a crisis, with the main goal of saving lives.  We are looking for creative data scientists that have built machine learning pipelines from inception to maintenance. You should have experience with collecting and cleaning data, feature engineering, building scalable machine learning algorithms and constantly improving them over time.  We work in a highly collaborative, challenging and exciting environment. Our engineering challenges are unique, so you should be comfortable stepping in uncharted territory and excited to create systems that can scale to all disasters and geographies. If you are problem solver, think out-of-the-box, love challenging yourself, and want to work for a cause, we would love to have you at One Concern.  We are committed to a workplace that reflects the community we serve. We especially encourage women, people of color, and others who are underrepresented in the tech industry to apply. Must-haves: PhD (preferred) or Master’s degree in Machine Learning or Artificial Intelligence, Computer Science, Statistics, Mathematics, Science, Electrical Engineering or related field At least 2+ years experience in the industry Strong background of machine learning, deep learning, statistics and quantitative analytics Advanced experience with Python (preferred), or R, C/C++, Java Deep understanding of MySQL, Postgres, Redshift, relational databases etc.  Good to have: Experience working on social issues and/or government projects a big plus Domain knowledge in earthquakes or flooding, a plus Experience with AWS and big data technologies such as hive, hadoop, spark etc. Worked on geospatial datasets What you will do: Build and improve existing machine learning models Work with and support domain experts and data scientists in different hazard products Demonstrate up-to-date machine learning skills and apply this to the development, execution, and improvement of action plans Assess the potential usefulness and validity of new statistical approaches and data sources. Identify key problems in prediction models and propose innovative solutions Formulate your own problems as the problem might not always be defined for you Work with cross-functional partners across the business  Perks and Benefits Market-competitive salary plus equity Comprehensive medical, dental, and vision insurance Daily lunches, and a fully-stocked kitchen Beautiful location at the heart of Palo Alto Generous PTO policy Team off-sites Flexible working hours"
"Grammarly, Inc.",Data Scientist,"The opportunity  Grammarly empowers people to thrive and connect, whenever and wherever they communicate. More than 20 million people around the world use our AI-powered writing assistant every day. All of this begins with our team collaborating in a values-driven and learning-oriented environment.  To achieve our ambitious goals, we’re looking for a Growth Manager, Consumer to join our Growth team. The Growth Manager will work with a cross-functional growth org to ideate and drive projects related to consumer acquisition, engagement, and monetization.  They will develop a keen understanding of Grammarly’s growth model (while helping to advance it further), products, and marketing channels. As a leader within the growth org, they will assess and prioritize a wide scope of potential growth experiments, including: designing virality or a network effect into the products; overseeing the marketing implications that result from updates to pricing and product packaging; personalizing the onboarding process to make it more relevant to specific user segments; ideating features that allow for new categories of upsell hooks; and considering strategic acquisitions.  Your impact  In order to achieve Grammarly’s ambitious user and revenue growth targets, you will add significant, sustained growth avenues. You will optimize and personalize several parts of the product experience and connect users to product value. Your experiments will also improve retention and monetization metrics in order to allow for greater investment in acquisition.  Within the first 30 days, you will gain a keen understanding of Grammarly’s various customer segments, products, and acquisition and monetization flows. You will identify the points of highest leverage and develop a plan of attack. Within the first three months, you will collaborate with cross-functional project teams on growth initiatives. You will manage experiments and workflows that realign our product tiers and features to better match consumer segments and their willingness to pay. Within the first six months, you will partner with your B2B counterparts to develop the connective tissue between our consumer and business products. You will also design and test ways of creating virality and network effects within the product. Within the first year, you’ll have helped transform the nascent Growth org into a powerhouse that includes the vision, people, processes, and systems to execute on a wide range of experiments and initiatives at a high tempo. We’re looking for someone who Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable. Possesses a strong track record of designing and running successful growth experiments. Has experience using their excellent collaborative and project management skills to work with cross-functional teams in translating strategy into execution. Relishes the analytical aspect of growth: employing models to pinpoint priorities and opportunities; combing through data to better understand user behavior; seeing the ROI on time and effort in addition to capital. Is relentlessly customer-focused and motivated to create smooth experiences and deliver maximum value for users. Support for you, professionally and personally Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback. A connected team: Grammarly builds products that help people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs. Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more. We encourage you to apply  At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, national origin, citizenship, age, marital status, veteran status, disability status, or any other characteristic protected by law. Grammarly will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. Grammarly is an equal opportunity employer and participant in the U.S. Federal E-Verify program."
HyperspaceVentures,Data Scientist,"We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.  Responsibilities: Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products Partner with Product and Engineering teams to solve problems and identify trends and opportunities Inform, influence, support, and execute our product decisions and product launches The Data Scientist Analytics role has work across the following four areas:  Product Operations Forecasting and setting product team goals Designing and evaluating experiments Monitoring key product metrics, understanding root causes of changes in metrics Building and analyzing dashboards and reports Building key data sets to empower operational and exploratory analysis Evaluating and defining metrics  Exploratory Analysis Proposing what to build in the next roadmap Understanding ecosystems, user behaviors, and long-term trends Identifying new levers to help move key metrics Building models of user behaviors for analysis or to power production systems  Product Leadership Influencing product teams through presentation of data-based recommendations Communicating state of business, experiment results, etc. to product teams Spreading best practices to analytics and product teams  Data Infrastructure Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica Automating analyses and authoring pipelines via SQL and python based ETL framework  Minimum Qualifications: 2+ years experience doing quantitative analysis BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field Experience in SQL or other programming languages Development experience in any scripting language (PHP, Python, Perl, etc.) Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product Knowledge of statistics (e.g., hypothesis testing, regressions) Experience manipulating data sets through statistical software (ex. R, SAS) or other methods  Preferred Qualifications: Advanced degrees Experience with distributed computing (Hive/Hadoop)"
Atlassian,"Senior Data Scientist, Forecasting","Atlassian is continuing to hire for all open roles with all interviewing and on-boarding done virtually due to COVID-19. Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our offices.  We are looking for a top-tier analyst for the new role of Senior Forecasting Analyst in our San Francisco office. As part of the Funnel Science team, you'll help develop the tools and data products that drive the business forward. Atlassian is experiencing rapid growth, so there are plentiful chances to create impact in this role.  You are passionate about building accurate and explainable forecasts that keep us honest, allow us to attribute impact, and build a strong feedback loop into the business. You'll be responsible for building and maintaining our MAU forecasts across the Atlassian suite. You'll partner with product experts to understand the business and ensure your methodology reflects expected product impact. You've got a proven track record to develop strong and trusted relationships with product leaders, with whom you turn data into action On the first day, we'll expect you to have 5+ years of relevant experience using data to build software at industry-leading companies 3+ years of forecasting experience Expertise in SQL and one of Python or R Passionate about products, and about analytics as a craft Excellent communication to garner trust and bring forecasts close to product drivers Ability to turn complex findings and results into a compelling narrative and a set of actions Strong sense of accountability, self-drive, and the ability to function independently Undergraduate in a technical subject from a top school It's great, but not required, if you have Experience in both enterprise (or B2B) as well as consumer (or B2C) environments Track record of presenting at meet-ups and conferences MS, MBA or PhD degree in a relevant topic More about out team  The Funnel Science team at Atlassian is tasked to scale analytics across our business. We seek to provide the right metrics, reports, data models, and forecasts that enable Atlassian to grow intelligently. We partner with Marketing Analytics, Product Analytics, and Data Science to provide a holistic view of users across our entire funnel. We are a highly collaborative team with a high bar of rigorous analyses, and we love to have fun along the way.  More about our benefits  Whether you work in an office or a distributed team, Atlassian is highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year for your favourite cause, an annual allowance to support your learning & growth, unique ShipIt days, a company paid trip after five years and lots more.  More about Atlassian  Creating software that empowers everyone from small startups to the who’s who of tech is why we’re here. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned—collaboration is the heart of every product we dream of at Atlassian. From Amsterdam and Austin, to Sydney and San Francisco, we’re looking for people who want to write the future and who believe that we can accomplish so much more together than apart. At Atlassian, we’re committed to an environment where everyone has the autonomy and freedom to thrive, as well as the support of like-minded colleagues who are motivated by a common goal to: Unleash the potential of every team.  Additional Information  We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.  All your information will be kept confidential according to EEO guidelines.  Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
Ticketmaster,Data Scientist,"Job Summary: Who are we? Ticketmaster, a proud division of Live Nation Entertainment, is the world's leading live event high tech ticketing company selling nearly 455 million tickets each year, supporting over 145,000 events and more than 12,000 clients in 21 countries worldwide. At Ticketmaster, we power the people who create culture through live events, connecting more passionate fans to those experiences than anyone else. We are innovators that embrace change and work hard to help others succeed. We believe in open communication and stress accountability, because fans and clients count on us every day. We strive for ease of use for our clients and fans while seeking out those who have a bias for action versus a desire for directives. Why Ticketmaster? A career at Ticketmaster will challenge and engage you. The pace here is fast, the atmosphere is fun and a passion for live events is a common thread that ties us together. As a global and growing business, we can truly offer a world of opportunities to expand your skills and develop your career. What the job is: In this role you will: Be part of a dynamic, highly-focused team that is responsible for providing machine-learning insights and SW products that engage Live Nation’s 120+MM users Be collecting and analyzing very large data sets Carry out tasks encompassing data sanitization and data normalization Designing and implementing machine learning algorithms ranging from feature engineering, feature selection, clustering, predictive scoring, classification and ranking Be directly involved in the productization of your algorithms and ideas into full-fledged commercial-grade SW tools that will directly interact with, and affect the experience of hundreds of millions of users, both domestically and internationally Participate in peer code reviews, write unit tests and provide feedback to other members of the team Partner with data engineers to successfully deliver a CDP to the business Carry out rigorous model validation and model tuning/optimization as part of the natural model life-cycle Our job descriptions evolve with our business need and priorities. In addition to the description above, your role may include additional projects and team support as needed. What a qualified candidate should possess: 5+ years of SW development with a high-level programming language (Java, C/C++, Python) Strong machine learning background both on supervised and unsupervised algorithms 5+ years of industry experience, or equivalent and pertinent course work Proficient in SQL and RDBMS's Experience with unit testing frameworks like JUnit, Mockito or similar is desirable Experience with/knowledge of frameworks like Hadoop, Spark, Kafka/Kinesis is desirable Education: BS/MS/Ph.D. in CS, Math or Physics Effective communication skills and enjoying work as part of a team If the above description sounds interesting to you and fits your background, apply online at www.livenationentertainment.com/careers to join the Ticketmaster team today! Applicants for employment in the U.S. must possess work authorization which does not require sponsorship by the employer for a visa. EQUAL EMPLOYMENT OPPORTUNITY Ticketmaster strongly supports equal employment opportunity for all applicants regardless of race, color, religion, sex, gender identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, sexual orientation, genetic information, or any other characteristic protected by state or federal law. HIRING PRACTICES The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Ticketmaster recruitment policies are designed to place the most highly qualified persons available in a timely and efficient manner. Ticketmaster may pursue all avenues available, including promotion from within, employee referrals, outside advertising, employment agencies, Internet recruiting, job fairs, college recruiting and search firms."
SquarePegTech,DATA SCIENTISTS,"Square Peg Technologies is looking for data scientists who enjoy leveraging large sets of data to tell stories. In this role, you will apply modern machine and deep learning approaches to import, clean, transform and model data that supports our nation's core intelligence decision makers. You will be responsible for designing or presenting conclusions gained from analyzing data using statistical tools like Tableau, Python, R and others."
Waystar,Data Scientist,"Waystar modernizes the healthcare revenue cycle through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.  What is the purpose of this position? We are looking for an experienced Data Scientist, who has previously supported Healthcare software applications. The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical methods, & knowledge. This person will interact with teams from Account Management to Application Engineering and R&D, to conduct detailed analysis and experimentation to maximize the utility of predictive modeling, analytic and machine learning across Waystar's product line. The role will focus on extending machine learning, predictive modeling, and analytic components to provide up-to-date intelligence to Healthcare providers maximizing outcomes. An ideal candidate for this position can approach problem-solving challenges independently, has a strong attention to detail, and enjoys working in a fast-paced, collaborative, and team-based environment.  Looking for some details? Works closely with Application Engineering, Product Management, and Operational teams in designing, experimenting-with, and implementing machine learning and analytical systems applied to design information and user behavior Works closely with Application Engineering teams to gather and process data, as well as in surfacing various analytically-based features in core products Works on groundbreaking new applications of machine learning and analytic technology to Healthcare, producing quantitative, justifiable results to guide feature planning Translates real-world Healthcare problems to mathematical frameworks Works with Product Management, Marketing, and Sales as needed to promote sales and to incorporate market and customer feedback Data exploration, hypothesis creation (from business and product goals), testing algorithms, scaling to large data-sets and validating results will be common tasks for this role Understands, organizes, and communicates root causes of problems and successes succinctly Do you fit our team? Complete familiarity with various statistical and machine learning techniques including: classification, regression, dimension reduction, clustering, and various multivariate methods Complete familiarity with empirical approaches to estimate performance of machine learning models including: hold-out sets, cross-validation, leave-one-out testing Understanding of orders of algorithms and how they scale Demonstrated competency in R/Python predictive modeling Demonstrated competency in RDBMS (e.g. SQL Server) Ability to code in 1+ general purpose programming language (C#, Java, etc.) Must be a quick-learner with the ability to multi-task in a fast-paced environment Outstanding presentation abilities and the ability to communicate with all levels of the Business Comfortable working in newly-forming, ambiguous areas where learning and adaptability are key skills Outstanding communication and interpersonal skills Must possess strong analytical, problem-solving, and writing skills Proficient in Microsoft Office applications Detail-oriented Preferred Skills: Master of Science degree or higher in the fields of Computer Science, Statistics, or Mathematics is preferred An aptitude for medical informatics is preferred In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
