;sentence
0;3d graphic software engineer delair delair one world ’ s experience provider drone-based solution combine high performance , long range uav hardware sophisticated analytics technology operational service .
1;enable enterprise monitor digitize physical asset air turn collect data valuable business insight .
2;solution use globally customer industry utility , construction , agriculture , transportation , mining oil & gas .
3;join delair , participate broadly recognize big technological paradigm shift generation : digitization physical world .
4;combination drone , cloud-based service , ai ( artificial intelligence ) machine learning , make delair pioneer leader shape tomorrow ’ s technology landscape .
5;technical excellence perpetual innovation process recognize ourselves .
6;encourage pioneer idea incent team develop creativity .
7;young , energetic highly motivated team , work stimulate pleasant work environment .
8;dedication innovation reward reward , give unique opportunity gain valuable challenge experience rapidly grow business passionate easy-going enthusiastic people .
9;job description cloud platform ingest large amount aerial image raw material produce map , 3d model business analysis .
10;work hard provide client powerful tools access data quickly interact real-time .
11;help us go task .
12;responsibility design maintain software ingest serve large point cloud 3d model fast efficient manner .
13;technical lead aspect regard massive model processing , level detail generation , texture compression , mesh simplification compression technique , real-time rendering , application spatial data structure create optimized 3d content .
14;profile qualification ms computer science related discipline solid software engineering skill ( c++ / python ) ability understand mathematical concept computational geometry 3d render experience render technology webgl experience work geospatial data excellent debug optimization skill pluses experience work gdal osgeo librairies familiarity front-end library : cesium , threej.s , . good understanding cad tool , 3d design , 3d user interface experience work 3d data ( 3d model , point cloud ) experience analysis satellite , aerial , multispectral imagery mindset operate effectively fast paced company embrace change you ’ re self-starter
15;data scientist london , uk description be : raven science early stage start-up span city , university london commercialise raven .
16;raven software design assist human moderator review classify extremist video .
17;raven make use machine learn object recognition algorithm train tested dataset thousand videos .
18;raven grow research project mvp stage .
19;follow 18 month market research , partnership building mvp development position recruit first employee .
20;primary goal set ground bring raven market work continuous development improvement .
21;role : main job responsibility carry experiment verify improve accuracy deep machine learn algorithms convolutional neural network .
22;responsibility work project member object recognition/segmentation , audio classification , write python code machine learning .
23;requirement order qualify role , fulfil follow requirement : - msc phd machine learning , computer vision , relevant computer science discipline and/or commercial experience work computer vision , machine/deep learning .
24;- hand experience use machine learn computer vision solve real-world problem .
25;- good programming skill python .
26;- comfortable use deep/machine learning library ( eg..
27;, tensorflow , pytorch , keras , opencv , scikit-learn ) .
28;- experience manage project large datasets .
29;"- problem solver analytical thinker ;"
30;- don ’ t accept status quo always look creative solution .
31;would bonus have : contribution open-source project prior commercial experience , particularly involved client-facing work project management benefit join start-up early stage part team help deliver benefit ai safe society sharpen technical skill challenge project engage motivate work ownership role enjoy impact create work environment extremely supportive anyone who ’ s keen develop improve
32;erp test supervisor department : erp programme report to : test lead grade : band h /spa 11 allowance : date : job number : context role part tri force test team responsible provide programme support service across tri-force erp transformational change programme specifically test workstream .
33;role work direction tri-force erp programme test manager .
34;test supervisor responsible day day operation programme test plan ensure key programme project management deliverable – definition , plan , organisation diagram , progress report , issue risk log .
35;test supervisor deputise test manager require .
36;job purpose post holder responsible supervise co-ordinating force involvement planning , preparation , execution report test erp programme .
37;key accountability establish programme test facility service provide .
38;"assist programme test manager , programme manager project/work stream team in ;"
39;publishing project test plan , ensure realistic , baselined test plan establish consistently across programme , issues/risks centrally/consistently report across programme , maintain date status relevant programme artefact incl .
40;version control , manage acceptance programme deliverable per publish raci produce periodic status report manage administer programme test folder sharepoint site .
41;provide ad hoc programme project support administration service require .
42;"co-ordinate user test preparation , include ;"
